Название;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Little Ann;Diesel;Russian Federation;273421160;8230003;UBQC;113x13 m;2 573 t;3 595 t;10 kn;09 августа 2016, 8:22; ; ;На Якоре;Ни одного;(Ø0,5 kn);3,5 m;322° ;-;"46°18'50"" N 47°58'16"" E";In Service;Taganrog;Komarno;Russian Maritime Register;1972;-;Steel;1360;-;Skoda;6L275IIIPN;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;PO Box 32, Business Center, proyezd Savelkinskiy 4;125195;Moscow; ;+7 495 739 6544;+7 495 739 6542; ; ;3 595 t;2 573 t;1 072 t;-;-;-;114 m;110 m;13,2 m;5,5 m;-;-;4 720 m²;-;-;-;-;-;-;-;-;-;20.30x11.20;-;-;-;-;-;-;-;-
Lenkaran;Diesel;Russian Federation;273314230;9369617;UABQ;139x16 m;4 534 t;6 526 t;10 kn;"<span title=""Сегодня, 11:45"">8мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,3 m;-;325°;"40°45'31"" N 29°39'42"" E";In Service;Taganrog;Istanbul;Russian Maritime Register;2006;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Tuzla Tersaneler Caddesi, 34944 Tuzla;34944;Istanbul; ;+90 216 446 7427;+90 216 395 3918;-; ;6 526 t;4 534 t;1 904 t;-;-;-;138,7 m;132,8 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
Magellan;Diesel;Russian Federation;273374480;9087104;UBLY;118x17 m;4 110 t;4 485 t;10,5 kn;"<span title=""Сегодня, 11:42"">12мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,5 m;-;-;"47°13'46"" N 39°49'50"" E";In Service;Kingstown;Nizhniy Novgorod;Russian Maritime Register;1993;-;Steel;19611/24;-;-;8NVD48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;B-1-135;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;4 485 t;4 110 t;1 233 t;-;-;-;117,4 m;111,5 m;16,7 m;6,7 m;29 m;-;5 087 m²;-;-;-;-;-;Gearless;-;-;-;18.70x11.80;-;-;-;-;-;-;-;-
M/V Magtymguly;Diesel;434111100;8863006;EZAN;116x14 m;3 084 t;3 152 t;10 kn;"<span title=""Сегодня, 11:49"">4мин назад</span>"; ; ;Под Парусом;Ни одного;(Ø5 kn);4,1 m;53° ;-;"39°54'38"" N 53°00'39"" E";In Service;Turkmenbashy;-;Komarno;Russian Maritime Register;1993;-;Steel;2344;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Rolnickej Skoly 1519, 945 01 Komarno;945 01;Komarno; ;+421 35 775 2670;+421 35 773 0739; ; ;3 152 t;3 084 t;925 t;-;-;-;115,9 m;111,2 m;13 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;23.80x10.01;-;-;-;-;-;-;-;-
Mangystau 1;Diesel-Electric;Kazakhstan;436000143;9560118;UNAA;66x16 m;1 828 t;743 t;12 kn;"<span title=""Сегодня, 11:51"">3мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);2,5 m;285,2° ;-;"39°24'58"" N 53°06'06"" E";In Service;Aqtau;Braila;Bureau Veritas;2010;-;Steel;-;-;Caterpillar;3512C;-;6 000 / 8 156;1 800 rpm;-;-;-;-;Azimuth;-;Building 10A, Business Centre Dostar;130000;Aqtau; ;+7 729 259 7333;+7 729 233 5596; ; ;743 t;1 828 t;536 t;4 844 t;-;-;66,3 m;62,9 m;16,4 m;4,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mangystau-4;Diesel-Electric;Kazakhstan;436000175;9618393;UNBG;66x17 m;1 785 t;743 t;12 kn;"<span title=""Сегодня, 9:04"">2ч 2мин назад</span>"; ; ;На Ходу;Ни одного;(Ø3,4 kn);2,7 m;262,3° ;-;"46°24'18"" N 52°16'14"" E";Under Construction;Aqtau;Braila;Bureau Veritas;2011;-;Steel;-;-;Caterpillar;3512C;-;6 000 / 8 156;1 800 rpm;-;-;-;-;Azimuth;-;Building 10A, Business Centre Dostar;130000;Aqtau; ;+7 729 259 7333;+7 729 233 5596; ; ;743 t;1 785 t;536 t;4 773 t;-;-;66 m;61,9 m;16,4 m;4,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mangystau 5;Diesel-Electric;Kazakhstan;436000176;9618410;UNBH;66x16 m;1 785 t;743 t;12 kn;"<span title=""Сегодня, 7:16"">4ч 4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø1 kn);2,7 m;333,2° ;220°;"46°28'12"" N 52°20'06"" E";Under Construction;Aqtau;Braila;Bureau Veritas;2011;-;Steel;-;-;Caterpillar;3512C;-;6 000 / 8 156;1 800 rpm;-;-;-;-;Azimuth;-;Building 10A, Business Centre Dostar;130000;Aqtau; ;+7 729 259 7333;+7 729 233 5596; ; ;743 t;1 785 t;536 t;4 773 t;-;-;66 m;61,9 m;16,4 m;4,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Supply M/V Maral;Diesel;Russian Federation;273394010;7827158;UBIP5;56x12 m;700 t;1 200 t;10 kn;18 августа, 22:27; ; ;На Ходу;Ни одного;(Ø9 kn);3,7 m;222° ;221°;"46°10'49"" N 47°50'24"" E";In Service;Turkmenbashy;Moss Point, MS;Bureau Veritas;1979;-;Steel;-;-;General Motors;16-645-E6;-;2 944 / 4 002;700 rpm;-;-;-;B-1-243;Fixed Pitch;-;Villa 1, al-Mushir Ahmed Ismail Ali;-;Cairo; ;+20 2 2268 6041;+20 2 2268 6039; ; ;1 200 t;700 t;210 t;-;-;-;56,4 m;50,7 m;12,2 m;4,3 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Maral;-;Russian Federation;273360450;8685923;UAXE5;52x12 m;"<span title=""Сегодня, 6:49"">5ч 5мин назад</span>"; ; ;На Ходу;Ни одного;(Ø0 kn);2,2 m;194,9° ;-;"46°16'18"" N 47°56'22"" E"
Marinus;Diesel;Russian Federation;273351110;8723438;UBTG7;28x8 m;182 t;57 t;11,5 kn;10 августа, 1:25; ; ;На Ходу;Ни одного;(Ø0,5 kn);3,7 m;223° ;-;"45°07'26"" N 48°51'12"" E";In Service;Taganrog;Gorokhovets;Russian Maritime Register;1988;-;Steel;-;-;Pervomaysk;8CHNP25/34;-;1 180 / 1 604;500 rpm;-;-;-;-;Controllable Pitch;-;Office 38, ul Serafimovicha 79;344007;Rostov-na-Donu; ;+7 863 244 2097;+7 863 240 8266; ; ;57 t;182 t;54 t;-;-;-;29,3 m;27 m;8,6 m;4,3 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Marquiz;Diesel;Russian Federation;273274100;7643978;UABT;119x13 m;2 613 t;3 373 t;11 kn;"<span title=""Сегодня, 11:53"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,2 kn);3,8 m;151,8° ;-;"41°04'04"" N 50°14'34"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1977;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248; ; ;3 373 t;2 613 t;1 159 t;-;-;-;118,9 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Mars;-;Russian Federation;273360650;8689357;UAXE8;51x12 m;"<span title=""Сегодня, 11:48"">6мин назад</span>"; ; ;На Якоре;Ни одного;(Ø5,3 kn);2,3 m;74,8° ;202°;"45°19'48"" N 36°29'40"" E"
Maru;Diesel;Azerbaijan;423458100;9058103;4JRT;70x11 m;985 t;1 840 t;12 kn;"<span title=""Сегодня, 9:03"">2ч 2мин назад</span>"; ; ;На Ходу;IMO Hazard B;(Ø0 kn);4,7 m;181° ;-;"40°21'51"" N 49°55'45"" E";In Service;Valletta;Yokkaichi, Mie;Registro Italiano Navale;1992;-;Steel;-;-;Hanshin;6EL30G;-;1 324 / 1 800;300 rpm;-;-;-;-;Fixed Pitch;-;81, Vasileos Georgiou A' &, Dousmani Streets, Glyf;166 75;Athens; ;+30 210 968 1777;+30 210 968 1740; ; ;1 840 t;985 t;433 t;-;-;-;69,7 m;65 m;11,3 m;5,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;1 629;-;-;-;-;-;-;-
"M/T ""Volga""";Diesel;Russian Federation;273350780;9104770;UBHJ2;138x16 m;4 408 t;5 776 t;10 kn;20 августа, 1:42;For Order; ;На Ходу;Ни одного;(Ø6,6 kn);4,1 m;28,1° ;-;"55°22'10"" N 49°59'14"" E";In Service;Limassol;Rousse;-;1996;-;Steel;-;Double Hull;-;8NVDS48A-2U;-;1 764 / 2 398;390 rpm;-;-;-;-;Fixed Pitch;-;Stroyeniye 1B, ul Makarenko 5/16;105062;Moscow; ;+7 495 777 5747;+7 495 777 5750; ; ;5 776 t;4 408 t;1 322 t;-;-;-;138 m;134,2 m;17 m;6,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 139;-;-;-;-;-;-;-
Makhachkala;Diesel;Russian Federation;273446530;8955902;UHHV;138x17 m;4 951 t;5 528 t;10 kn;"<span title=""Сегодня, 11:53"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0 kn);3,8 m;219,8° ;-;"46°22'32"" N 48°01'15"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1975;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;5 528 t;4 951 t;2 307 t;-;-;-;138,3 m;135 m;16,7 m;5,5 m;-;-;6 270 m²;-;-;-;-;-;-;-;-;-;44.40x13.10;-;-;-;-;-;-;-;-
Mahmud Rehimov;Diesel;Azerbaijan;423041100;9114816;4JBZ;118x17 m;4 110 t;4 485 t;10,5 kn;19 августа, 6:20; ; ;На Якоре;Ни одного;(Ø0 kn);4,5 m;20,7° ;-;"40°21'36"" N 49°56'05"" E";In Service;Baku;Nizhniy Novgorod;Russian Maritime Register;1994;-;Steel;19611/27;-;-;8NVD48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;B-1-135;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;4 485 t;4 110 t;1 233 t;-;-;-;117,5 m;111,4 m;16,6 m;6,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mb-1213;Diesel;Russian Federation;273448630;8987022;UFEZ;47x10 m;726 t;216 t;9 kn;"<span title=""Сегодня, 11:49"">5мин назад</span>"; ; ;На Ходу;Ни одного;(Ø1,2 kn);2,5 m;232,4° ;-;"46°25'30"" N 47°59'13"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1988;-;Steel;-;-;-;6-27.5 A2L;-;1 030 / 1 400;-;-;-;-;-;-;-;ul Kronshtadtskaya 3, St Petersburg, 198096;198096;St Petersburg; ;+7 812 337 1607;+7 812 320 6062; ; ;216 t;726 t;217 t;-;-;-;49,6 m;45,7 m;10,4 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mb-1202;Diesel;Russian Federation;273446400;9069413;UFNL;50x11 m;726 t;216 t;19 августа, 14:18; ; ;На Якоре;Ни одного;(Ø2,7 kn);2,5 m;141° ;130°;"44°55'31"" N 47°45'51"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1987;-;Steel;-;-;-;Skoda;6L275A2L;-;882 / 1 200;-;-;-;-;-;-;-;ul Admiralteyskaya 53A, Astrakhan, 414040, Russia;414040;Astrakhan; ;+7 512 281454;+7 512 281454; ; ;216 t;726 t;217 t;-;-;-;49,6 m;45,7 m;10,4 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mb-1203;Diesel;Russian Federation;273447400;9069425;UFOV;50x11 m;726 t;216 t;9 kn;18 августа, 6:34; ; ;На Ходу;Ни одного;(Ø0 kn);2,5 m;32° ;-;"45°03'50"" N 48°36'07"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1987;-;Steel;-;-;Skoda;6L275A2L;-;882 / 1 200;-;-;-;-;-;-;-;ul Parokhodskaya 31, Tyumen, 625002, Russia;625002;Tyumen; ;+7 345 224 0363;+7 345 224 0942; ; ;216 t;726 t;217 t;-;-;-;49,6 m;45,7 m;10,4 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mb-1205;Diesel;Russian Federation;273341000;9026174;UCKM;50x10 m;726 t;216 t;9 kn;"<span title=""Сегодня, 3:24"">8ч назад</span>"; ; ;На Ходу;Ни одного;(Ø4,3 kn);2,5 m;147,1° ;148°;"45°41'05"" N 47°41'43"" E";In Service;Astrakhan;Perm;-;1987;-;Steel;-;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;-;-;ul Neftyanikov 26A, Astrakhan, 414017, Russia;414017;Astrakhan; ;+7 8512 597862;+7 8512 597862; ; ;216 t;726 t;217 t;-;-;-;49,6 m;45,7 m;10,4 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mb-1216;"
              Толкач
            ";Sint Maarten;306999602;8999659;UHAZ;50x10 m;12 мая, 22:50; ; ;На Якоре;Ни одного;(Ø-1 kn);2,3 m;330,5° ;196°;"47°07'08"" N 39°23'27"" E"
Mb-1223;Diesel;Russian Federation;273425640;8987034;UASH-8;50x10 m;680 t;216 t;9 kn;19 августа, 10:59; ; ;На Ходу;Ни одного;(Ø3,5 kn);2,5 m;142,8° ;104°;"45°01'24"" N 48°27'54"" E";In Service;St Petersburg;Perm;Russian Maritime Register;1991;-;Steel;-;-;-;6-27.5 A2L;-;1 030 / 1 400;-;-;-;-;-;-;-;Office VII, ul Kosmonavta Volkova 12;127299;Moscow; ;+7 495 258 8773;+7 495 258 8775; ; ;216 t;680 t;204 t;-;-;-;49,6 m;45,7 m;10,4 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Melita;Diesel;Russian Federation;273395390;8230479;UBCP6;110x13 m;2 516 t;3 162 t;10,8 kn;"<span title=""Сегодня, 7:51"">4ч 4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø7,2 kn);3,6 m;177° ;179°;"37°36'23"" N 53°36'47"" E";In Service;Valletta;Komarno;Russian Maritime Register;1983;-;Steel;1964;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Petrenko 35, Kherson, Ukraine;-;Kherson; ;+380 552 454345;+380 552 325154; ; ;3 162 t;2 516 t;1 147 t;-;-;-;113,9 m;110,5 m;13,2 m;5,5 m;-;-;4 720 m²;-;-;-;-;-;Gearless;-;-;-;19.50x9.50;-;-;-;-;-;-;-;-
Merle;Diesel;Russian Federation;273338780;9106936;UBOK4;88x13 m;2 456 t;3 706 t;11,7 kn;13 марта, 5:57; ; ;На Ходу;Ни одного;(Ø0 kn);5,5 m;299,3° ;-;"32°54'28"" N 13°13'09"" E";In Service;Saint John's;Komarno;Germanischer Lloyd;1994;-;Steel;2923;Double Hull;Deutz;SBV8M628;-;1 500 / 2 039;900 rpm;-;-;-;B-1-185;Fixed Pitch;-;ul Rolnickej Skoly 1519, 945 01 Komarno;945 01;Komarno; ;+421 35 775 2670;+421 35 773 0739; ; ;3 706 t;2 456 t;1 369 t;-;-;-;87,5 m;81 m;12,9 m;7,1 m;-;4 620 m²;4 649 m²;-;-;-;-;-;Gearless;-;-;-;56.53x10.19;-;-;-;-;-;-;-;-
Mekhanik Antonov;Diesel;Russian Federation;273351320;9598359;UBBH9;141x17 m;4 373 t;5 636 t;10 kn;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,8 kn);3,7 m;92,9° ;-;"47°10'13"" N 39°34'11"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/18;Double Hull;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 636 t;4 373 t;1 311 t;5 708 t;2 284 t;22 t;141 m;139 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 720;-;-;-;-;-;-;-
Mekhanik Belov;Diesel;Russian Federation;273352320;9598361;UBCH2;4 378 t;5 530 t;10 kn;"<span title=""Сегодня, 11:06"">48мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,4 kn);3,7 m;143,8° ;206°;"45°11'15"" N 36°33'40"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/19;Double Hull;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 530 t;4 378 t;1 313 t;5 712 t;2 320 t;22 t;141 m;134,9 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 720;-;-;-;-;-;-;-
Mekhanik Erokhin;Diesel;Russian Federation;273357420;9610262;UBDH8;141x17 m;4 378 t;5 534 t;10 kn;"<span title=""Сегодня, 11:35"">20мин назад</span>"; ; ;На Ходу;Ни одного;(Ø6,7 kn);3,7 m;18,5° ;-;"46°14'37"" N 37°11'40"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/20;Double Hull;Wartsila;6L20;-;2 160 / 2 936;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 534 t;4 378 t;1 313 t;5 712 t;-;-;141 m;134,9 m;16,9 m;6,1 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 720;-;-;-;-;-;-;-
Mekhanik Paramonov;Diesel;Russian Federation;273356420;9598373;UBDH7;4 378 t;5 600 t;10 kn;"<span title=""Сегодня, 11:54"">только что</span>"; ; ;На Ходу;Ни одного;(Ø4,5 kn);3,7 m;61,7° ;-;"47°10'33"" N 39°35'31"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/21;Double Hull;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;-;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 600 t;4 378 t;1 313 t;5 712 t;2 320 t;22 t;141 m;139 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 720;-;-;-;-;-;-;-
Mekhanik Pogodin;Diesel;Russian Federation;273354720;9598397;UBFH6;141x17 m;4 378 t;5 530 t;10 kn;"<span title=""Сегодня, 11:52"">3мин назад</span>"; ; ;На Ходу;IMO Hazard A;(Ø4,2 kn);3,7 m;150,9° ;148°;"47°34'45"" N 41°04'38"" E";Under Construction;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/23;Double Hull;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;-;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 530 t;4 378 t;1 313 t;5 712 t;2 320 t;22 t;141 m;139 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 720;-;-;-;-;-;-;-
Mekhanik Sazonov;Diesel;Russian Federation;273352430;9626699;UBLH9;141x17 m;4 378 t;5 530 t;10 kn;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,9 kn);3,7 m;258,8° ;263°;"47°12'44"" N 39°42'41"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/24;Double Hull;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;-;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 530 t;4 378 t;1 313 t;5 712 t;-;-;141 m;139 m;16,9 m;6,1 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 720;-;-;-;-;-;-;-
Mekhanik Kharitonov;Diesel;Russian Federation;273351430;9630975;UBLH8;140x17 m;4 378 t;5 530 t;10 kn;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,1 kn);3,7 m;245,6° ;240°;"47°11'45"" N 39°40'52"" E";Under Construction;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2011;-;Steel;19614/25;Double Hull;Wartsila;6L20;-;1 860 / 2 528;1 000 rpm;-;-;-;-;-;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 530 t;4 378 t;1 313 t;5 712 t;-;-;141 m;139 m;16,9 m;6,1 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Midvolga 2;-;Russian Federation;273376900;9735139;UBIM3;140x16 m;"<span title=""Сегодня, 11:52"">3мин назад</span>"; ; ;На Якоре;IMO Hazard B;(Ø5,8 kn);3,3 m;304,4° ;306°;"54°38'16"" N 19°46'42"" E"
Midvolga-3;-;Russian Federation;273374820;9735141;UBOM5;140x17 m;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;На Ходу;IMO Hazard B;(Ø0 kn);3,5 m;132,1° ;321°;"59°52'36"" N 30°13'14"" E"
Mius;-;Russian Federation;273440370;7615610;UEGL;58x9 m;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø4,8 kn);2,5 m;161,8° ;-;"46°18'34"" N 47°58'30"" E"
M/V Modulus 1;Diesel;Russian Federation;273332230;9407029;UBUF9;90x16 m;2 995 t;4 416 t;11 kn;"<span title=""Сегодня, 11:37"">18мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,6 kn);5,3 m;223° ;324°;"44°26'40"" N 12°14'46"" E";In Service;Taganrog;Gelibolu;Russian Maritime Register;2008;-;Steel;-;Double Hull;-;6M25;-;1 824 / 2 480;750 rpm;-;-;-;-;Controllable Pitch;-;Kat 3, Ilayda Is Merkezi, Yayabeyi Sokak 12;34810;Istanbul; ;+90 216 680 1515;+90 216 680 4535;-; ;4 416 t;2 995 t;1 523 t;-;-;-;89,2 m;84,9 m;15,9 m;6,8 m;-;5 486 m²;5 486 m²;-;-;-;-;-;Gearless;-;-;-;52.00x12.70;-;-;-;-;-;-;-;-
Modulus 2;Diesel;Russian Federation;273338330;9471800;UBWF7;89x16 m;2 995 t;4 416 t;11 kn;"<span title=""Сегодня, 11:55"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø1,7 kn);5,3 m;280° ;-;"44°20'33"" N 28°41'00"" E";In Service;Taganrog;Gelibolu;Russian Maritime Register;2009;-;Steel;-;Double Hull;-;6M25;-;1 824 / 2 480;750 rpm;-;-;-;-;Controllable Pitch;-;Kat 3, Ilayda Is Merkezi, Yayabeyi Sokak 12;34810;Istanbul; ;+90 216 680 1515;+90 216 680 4535;-; ;4 416 t;2 995 t;1 523 t;-;-;-;89,2 m;83,8 m;15,9 m;6,8 m;-;-;-;-;-;-;-;-;Gearless;-;-;-;52.00x12.70;-;-;-;-;-;-;-;-
Modulus3;Diesel;Russian Federation;273357900;9471812;UBLG8;90x16 m;3 104 t;4 432 t;11 kn;"<span title=""Сегодня, 11:52"">3мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø3,5 kn);5,3 m;25° ;137°;"45°19'29"" N 37°23'03"" E";In Service;Taganrog;Gelibolu;Russian Maritime Register;2010;-;Steel;-;-;MAN B&W;6L28/32A;-;1 449 / 1 970;775 rpm;-;-;-;-;Controllable Pitch;-;Kat 3, Ilayda Is Merkezi, Yayabeyi Sokak 12;34810;Istanbul; ;+90 216 680 1515;+90 216 680 4535;-; ;4 432 t;3 104 t;1 523 t;4 636 t;-;-;89,2 m;84,9 m;15,6 m;6,8 m;-;-;-;-;-;-;-;-;Gearless;-;-;-;52.00x12.70;-;-;-;-;-;-;-;-
Modulus 4;Diesel;Russian Federation;273357280;9256169;UBBJ2;90x15 m;2 954 t;4 200 t;12 kn;18 августа, 12:29; ; ;На Ходу;Ни одного;(Ø8,6 kn);5,1 m;251,9° ;249°;"53°09'43"" N 49°36'37"" E";In Service;Limassol;Drobeta-Turnu Severin;Lloyds Register;2003;-;Steel;-;-;-;6M25;-;1 800 / 2 447;750 rpm;-;-;-;-;Fixed Pitch;-;204 Timisoarei Street, 220242 Drobeta-Turnu Severi;220242;Drobeta-Turnu Severin; ;+40 252 314270;+40 252 314675;-; ;4 200 t;2 954 t;1 646 t;-;-;-;90 m;85 m;15,3 m;6,6 m;-;-;-;-;-;-;-;-;Gearless;-;-;-;61.50x12.67;-;-;-;-;-;-;-;-
Modulus 5;Diesel;Russian Federation;273359280;9256171;UBBJ3;90x15 m;2 983 t;4 285 t;12 kn;"<span title=""Сегодня, 11:19"">37мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);5,1 m;157,9° ;173°;"40°18'36"" N 49°49'23"" E";In Service;Limassol;Drobeta-Turnu Severin;Lloyds Register;2003;-;Steel;-;-;-;6M25;-;1 800 / 2 447;750 rpm;-;-;-;-;Fixed Pitch;-;204 Timisoarei Street, 220242 Drobeta-Turnu Severi;220242;Drobeta-Turnu Severin; ;+40 252 314270;+40 252 314675;-; ;4 285 t;2 983 t;1 646 t;-;-;-;90 m;85 m;15,3 m;6,6 m;-;-;-;-;-;-;-;-;Gearless;-;-;-;61.50x12.67;-;-;-;-;-;-;-;-
