flag;owner;name;me;owner_city;number;gt;state;port;imo;type;address;country;owner_country;mmsi;email;year;phone;dwt;owner_site
Россия;"""Фарватер"", ЗАО";VOLGO BALT 239;6L275III2AL; Санкт-Петербург;821358;2600;Эксплуатируется;Неизвестен;8230534;Ген. груз; 199106, В.О., 29 линия, 2, лит.А;; Россия, ;273330900;;1982; +7 (812) 932-63-56, ;3180;
Россия;"""Западное Пароходство"", ОАО";VOLGO BALT 244;6L275III2AL; Калининград;821317;2457;Эксплуатируется;Калининград;8230584;Ген. груз; 236040, ул. Сергеева 14, каб. 134;; Россия, ;273327100;;1983; +7(4012) 99-36-06, 77-08-22, ;3248;
Россия;"""Донречфлот"", ОАО";VOLGO DON 211;G-60; Ростов-на-Дону;775234;4963;Эксплуатируется;Таганрог;8959180;Балкер; 344019, ул.Советская, д. 63, 5 этаж;; Россия, ;273374100;adk@adship.ru;1977; +7(863)200-37-12, +7(863)253-39-44 , ;5100;http://donrechflot.com/
Россия;;RUSICH 8;Wartsila 6 L 20; Ростов-на-Дону;;4970;;Неизвестен;8959192;Ген. груз; 344019, ул.Советская, д. 63, 5 этаж;; Россия, ;273351360;adk@adship.ru;2007; +7(863)200-37-12, +7(863)253-39-44 , ;5460;http://donrechflot.com/
Россия;;RUSICH 8;Wartsila 6 L 20; Ростов-на-Дону;;4970;;Неизвестен;8871508;Ген. груз; 344019, ул.Советская, д. 63, 5 этаж;; Россия, ;273351360;adk@adship.ru;2007; +7(863)200-37-12, +7(863)253-39-44 , ;5460;http://donrechflot.com/
Россия;"""Росчартеринг"", ООО";VOLGONEFT 268;SKL; Санкт-Петербург;790997;3468;Эксплуатируется;Астрахань;8230962;Танкер; 197374, ул. Савушкина, д.126, лит.А;; Россия, ;273340500;;1979; +7 (812) 406-80-88, ;4803;
Россия;"""Волготранс"", ООО";VOLGONEFT 132;8NVD-48AU; Самара;;3463;Эксплуатируется;Астрахань;8230766;Танкер; 443042, ул. Белорусская, д. 134;Болгария; Россия, ;273430710;;1977; +7(846)273-92-59, ;4190;
Россия;"""Ойл Марин Групп"", СК ООО";VOLGONEFT 165;vgh; Санкт-Петербург;825880;4059;;Астрахань;8867143;Танкер;" 197374, ул. Савушкина д. 126, лит. А, БЦ ""Атлантик Сити"", оф. 303";Болгария; Россия, ;273342100;;1982; +7(812)331-24-11, ;6574;
Россия;"""Судоходная компания БашВолготанкер"", ЗАО";VOLGONEFT 254;8NVD-48AU; Уфа;;3468;Эксплуатируется;Астрахань;8231069;Танкер; 450006, ул. Ленина, д.97/1;; Россия, ;273347300;personal@bashvt.ru;1976; +7(347)251-09-60, ;4803;http://bashvt.ru
Россия;"""Ойл Марин Групп"", СК ООО";VOLGONEFT 256;8NVD48A-2U; Санкт-Петербург;761091;4059;Эксплуатируется;Астрахань;8231071;Танкер;" 197374, ул. Савушкина д. 126, лит. А, БЦ ""Атлантик Сити"", оф. 303";; Россия, ;273276100;;1976; +7(812)331-24-11, ;6593;
Россия;"""Ойл Марин Групп"", СК ООО";VOLGONEFT 263;8NVD48AU; Санкт-Петербург;771134;3475;Эксплуатируется;Астрахань;8230912;Танкер;" 197374, ул. Савушкина д. 126, лит. А, БЦ ""Атлантик Сити"", оф. 303";; Россия, ;273344500;;1978; +7(812)331-24-11, ;4701;
Россия;"""Донречфлот"", ОАО";VOLZHSKIY 45;G-70; Ростов-на-Дону;913653;4096;;Таганрог;8862703;Ген. груз; 344019, ул.Советская, д. 63, 5 этаж;; Россия, ;273310130;adk@adship.ru;1991; +7(863)200-37-12, +7(863)253-39-44 , ;6003;http://donrechflot.com/
Россия;"""ST.NICOLAS MARITIME"", LTD";VOLMORE;6 CHRN 36/45; Валлетта;905534;3082;;Неизвестен;8865951;Ген. груз; Valletta, Malta;; Мальта, ;273390200;;1990; c/o +7 (495) 230-93-52, ;3977;
Россия;"""ST.ANDREW SHIPPING"", LTD";VOLOZERO;G-70; Валлетта;905553;3082;;Неизвестен;8866852;Ген. груз;" 13/16 Vincenti Buildings, Strait Street, Valletta, Malta; 
c/o Rio Maritime Management Ltd, (Moscow Representation): 119991 Москва, 2-ой Спасоналивковский переулок 6";; Мальта, ;273399100;;1990;;3709;
Россия;"""Lana shipping"", ООО";VOLOYARVI;G-70;;905349;3082;;Неизвестен;8866838;Ген. груз;;;;273391200;;1990;;3377;
Россия;"""Декларантская фирма ВТС-Брокер"", ООО";ВТС-1;----; Астрахань;870778;;;Астрахань;8811649;Ген. груз; 414000, улица Николая Островского, 152а;Германия; Россия, ;;;1988; (8512) 49-65-13, ;1849;
;;;; Астрахань;;;;;9645073;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9645085;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9640578;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9640516;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9640499;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9645009;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9645023;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9645047;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
;;;; Астрахань;;;;;9645059;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
Россия;;VF TANKER 17;6L20; Астрахань;;5089;;Неизвестен;9645061;Танкер; 414000, улица Николая Островского, 152а;; Россия, ;273355680;;2013; (8512) 49-65-13, ;7013;
;;;; Астрахань;;;;;9645097;; 414000, улица Николая Островского, 152а;; Россия, ;;;; (8512) 49-65-13, ;;
Россия;"""В.Ф.Танкер СК"", ООО";VF TANKER 21;----; Нижний Новгород;110446;5075;Эксплуатируется;Санкт-Петербург;9645102;Танкер; 603116, ул. Гордеевская, д. 5а;Россия; Россия, ;273359390;personal@vft.ru;2013; +7(831)277-26-47, ;7029;http://www.vftanker.ru/
Россия;;VF TANKER 22;Vartsila; Нижний Новгород;;5075;;Неизвестен;9645114;Танкер; 603116, ул. Гордеевская, д. 5а;; Россия, ;273333670;personal@vft.ru;2013; +7(831)277-26-47, ;7030;http://www.vftanker.ru/
;;;; Нижний Новгород;;;;;9640528;; 603116, ул. Гордеевская, д. 5а;; Россия, ;;personal@vft.ru;; +7(831)277-26-47, ;;http://www.vftanker.ru/
;;;; Нижний Новгород;;;;;9640530;; 603116, ул. Гордеевская, д. 5а;; Россия, ;;personal@vft.ru;; +7(831)277-26-47, ;;http://www.vftanker.ru/
;;;; Нижний Новгород;;;;;9640542;; 603116, ул. Гордеевская, д. 5а;; Россия, ;;personal@vft.ru;; +7(831)277-26-47, ;;http://www.vftanker.ru/
;;;; Нижний Новгород;;;;;9640566;; 603116, ул. Гордеевская, д. 5а;; Россия, ;;personal@vft.ru;; +7(831)277-26-47, ;;http://www.vftanker.ru/
Сент-Китс и Невис;"""EKOHIDROTECHNIKA"", LTD";IGNIS;----; Дэлавер;652665;2102;;Бастер;6600620;Дноуглубительное; 3500 South Dupont Highway, Dover, Delaware, 19901, USA;Нидерланды; Соединенные Штаты Америки, ;341391000;;1966;;1960;
Россия;"""Московский"", ЗАО";GABDULLA TUKAY;8NVDS; Санкт-Петербург;865981;2829;Эксплуатируется;Санкт-Петербург;8869361;Ген. груз; 199106 , В.О., 29-я линия, 2;Румыния; Россия, ;273338400;;1986; +7 (812) 3240-331, ;3997;
Россия;;GABDULLA TUKAY;----; Санкт-Петербург;;;;Неизвестен;9752498;Танкер; 199106 , В.О., 29-я линия, 2;; Россия, ;273381900;;; +7 (812) 3240-331, ;7000;
Россия;"""Глобал-Флот"", ООО";GANDURINSKIY;Wichmann 7AXA; Светлый;814369;940;;Калининград;8102074;Многоцелевое судно обеспечения; 238340, ул. Гагарина , д. 61;Франция; Россия, ;273417310;;1982; +7(4012)350-887, ;1015;
Россия;"""Глобал-Флот"", ООО";GANDURINSKIY;Wichmann 7AXA; Светлый;814369;940;;Калининград;8688925;Многоцелевое судно обеспечения; 238340, ул. Гагарина , д. 61;Франция; Россия, ;273417310;;1982; +7(4012)350-887, ;1015;
Россия;"""Baltasar Shipping"", S.A";BELORUS;MAK6M20;;040281;4182;Эксплуатируется;Неизвестен;9340855;Ген. груз; Banco General Building, 21-st Floor, Panama;Россия;;273316120;;2005;;5489;
Россия;"""HATHOR SHIPPING"", S.A.";GHAHRAMAN 1;8 VD 36/24 A-1; Маджуро;854830;1539;;Астрахань;8620038;Ген. груз; Ajeltake Road, Ajeltake Island, Majuro, Marshall Islands, MH96960;Германия; Маршалловы острова, ;422042800;;1986;;1660;
Россия;"""GELIUS 1 SHIPPING CO"", LTD";GELIUS 1;"MAN B&amp;W 6L28/32A"; Чарлстаун;060270;2678;;Неизвестен;9407017;Ген. груз; Morton House, Governement Road, Charlestown, St. Kitts and Nevis;Турция; Сент-Китс и Невис, ;273357650;;2006;;3510;
Россия;"""GELIUS 2 SHIPPING CO"", LTD";GELIUS 2;MAN; Чарлстаун;;2678;;Неизвестен;9403487;Ген. груз; Morton House, Governement Road, Charlestown, St. Kitts and Nevis;; Сент-Китс и Невис, ;273358650;;2006;;3557;
Россия;"""GELIUS 3 SHIPPING CO"", LTD";GELIUS 3;6228/32A; Чарлстаун;060340;2678;;Таганрог;9403499;Ген. груз; P.O.Box 583, Morton House, Governement Road, Charlestown, St. Kitts and Nevis;Турция; Сент-Китс и Невис, ;273339630;;2006;;3557;
Россия;"""ARMADA TRADING-3 CO"", LTD";GENERAL HAZI ASLANOV;Wartsila; Стамбул;040169;4522;Эксплуатируется;Таганрог;9333577;Танкер;" 90, Strait Street, Palazzo Pietro Stiges, Valletta,  Malta; c/o Palmali Shipping Co. Ltd: Ebulula cad.Maya Siteleri No: 1L-Block Akatlar 34335, Istanbul, Turkey";Турция; Турция, ;273430870;;2005; 90(212) 3500900, ;6444;
Россия;"""TEXRON FINANCE"", LTD";GERMES;----; Белиз Сити;906452;220;;Астрахань;8920945;Буксир; 35 New Road, Belize City, Belize;Сингапур; Белиз, ;273359640;;1990;;239;
Россия;"""Транс-Флот"", ООО";GEROY ROSSII PYATNIT;Wartsila 6L20; Самара;;4801;;Таганрог;9673214;Танкер; 443099, ул. Венцека, д. 1, а/я 2985;; Россия, ;273339870;samaraok@mail.ru;2013; +7(846)202-16-77, ;6104;http://www.trans-flot.ru/
Россия;"""Транс-Флот"", ООО";GEROY ROSSII PYATNIT;Wartsila 6L20; Самара;;4801;;Таганрог;9367982;Танкер; 443099, ул. Венцека, д. 1, а/я 2985;; Россия, ;273339870;samaraok@mail.ru;2013; +7(846)202-16-77, ;6104;http://www.trans-flot.ru/
Россия;"""Каспийский научно-исследовательский нститут рыбного хозяйства"", ГБОУ";GIDROBIOLOG;----; Астрахань;760281;197;Эксплуатируется;Астрахань;8927826;Научно-исследовательское судно; 414056, улица Савушкина, 1;; Россия, ;;;1982; (8512) 25-86-36, (8512) 25-25-81, ;69;
Россия;"""Каспийский научно-исследовательский нститут рыбного хозяйства"", ГБОУ";GIDROBIOLOG;----; Астрахань;760281;197;Эксплуатируется;Астрахань;7731866;Научно-исследовательское судно; 414056, улица Савушкина, 1;; Россия, ;;;1982; (8512) 25-86-36, (8512) 25-25-81, ;69;
Россия;"""HIGHLAND SHIPPING"", LTD";GIRVAS;G-60; Белиз Сити;814142;2902;Эксплуатируется;Таганрог;8875097;Ген. груз; 60 Market Square P.O.Box 364, Belize City, Belize;Румыния; Белиз, ;273331700;;1981;;3964;
Россия;"""СамараТрансШиппинг"", ООО";GLARD 1;6L20; Самара;121101;4794;Эксплуатируется;Таганрог;9679373;Танкер; 443042, ул. Белорусская, д.132, литер Б;Китай; Россия, ;273339480;samaratransshipping@gmail.com;2013; +7(917)168-56-68, +7(846)309-24-37, ;6115;
Россия;"""PB NORGE"", AS";GLORIA;WARTSILA 6L20; Осло;101108;5144;Эксплуатируется;Таганрог;9602825;Танкер; Dronning Mauds Gate 3, 0114, Oslo, Norway;Китай; Норвегия, ;273353340;;2010;;7441;
Россия;"""ALVEX"", LTD";GRAF;6NVD48A2U; Москва;850596;2615;;Астрахань;8726208;Нефтерудовоз; 121552, ул.Островная, 2;; Россия, ;273348700;;1985; 7(495) 2345247, ;3280;
;;;; Москва;;;;;8848628;; 121552, ул.Островная, 2;; Россия, ;;;; 7(495) 2345247, ;;
Россия;;GRIZLI;----; Москва;;841;;Неизвестен;8892019;Буксир; 121552, ул.Островная, 2;; Россия, ;273456070;;1986; 7(495) 2345247, ;197;
Россия;;GRIZLI;----; Москва;;841;;Неизвестен;8680478;Буксир; 121552, ул.Островная, 2;; Россия, ;273456070;;1986; 7(495) 2345247, ;197;
Россия;;ГУНИБ;----; Москва;560523;;Не эксплуатируется;Махачкала;6875859;Танкер; 121552, ул.Островная, 2;; Россия, ;;;1957; 7(495) 2345247, ;;
Россия;"""CASPIAN MARINE SERVICE"", LTD";PIONEER;----; Баку;;;Эксплуатируется;Неизвестен;9813565;Танкер; AZ 1025, ул. Н. Алиева-38а;; Азербайджан, ;273391880;;2016; 994(12) 4641531, 4641532, 50-331-3821 (mob.), ;;
Россия;"""KD SHIPPING CO."", LTD";DANAPRIS 1;6 NVD 48 A2U; Киев;763699;2360;Эксплуатируется;Санкт-Петербург;8889373;Ген. груз; 01030, ул. Пирогова, 6-А;Румыния; Украина, ;273360870;;1977; 380(44) 5694715, ;3183;
Россия;;DANAPRIS 5;6NVD 48A-2U; Киев;;2453;Эксплуатируется;Большой порт Санкт-Петербург;8887387;Ген. груз; 01030, ул. Пирогова, 6-А;Румыния; Украина, ;273332670;;1987; 380(44) 5694715, ;2916;
Россия;"""PB NORGE"", AS";DAFNE;CW 6250 2LC-1; Осло;090473;4824;;Таганрог;9540340;Танкер; Dronning Mauds Gate 3, 0114, Oslo, Norway;Китай; Норвегия, ;273355800;;2010;;6289;
;;;; Осло;;;;;9342657;; Dronning Mauds Gate 3, 0114, Oslo, Norway;; Норвегия, ;;;;;;
;;;; Осло;;;;;8866773;; Dronning Mauds Gate 3, 0114, Oslo, Norway;; Норвегия, ;;;;;;
Россия;"""Земланд Шиппинг"", ООО";DESIRE;6NVD 48A-2U; Москва;865816;2426;Эксплуатируется;Таганрог;8866814;Ген. груз; 119607, ул. Раменки, д.17 к.1;Румыния; Россия, ;273335110;;1986; +7(495)780-62-26, ;3174;
Россия;"""Газтехлизинг"", ООО";DESNA;8ASL 25/30; Москва;782030;739;Эксплуатируется;Калининград;8929018;Многоцелевое судно обеспечения; ул. Миклухо-Маклая, д. 40;; Россия, ;273424900;;1979; +7(495)663-88-77, ;798;
Россия;"""Газтехлизинг"", ООО";DESNA;8ASL 25/30; Москва;782030;739;Эксплуатируется;Калининград;8840262;Многоцелевое судно обеспечения; ул. Миклухо-Маклая, д. 40;; Россия, ;273424900;;1979; +7(495)663-88-77, ;798;
Казахстан;"""Circle Maritime Invest"", LLP";DZHIGIT;Caterpillar; Алматы;060478;294;;Актау;9384289;Буксир; 050016, пр.Рыймбека 160 А, офис 504;Нидерланды; Казахстан, ;436000094;;2007; +7(727) 258-3567, ;267;
Казахстан;"""Circle Maritime Invest"", LLP";DZHIGIT;Caterpillar; Алматы;060478;294;;Актау;9683726;Буксир; 050016, пр.Рыймбека 160 А, офис 504;Нидерланды; Казахстан, ;436000094;;2007; +7(727) 258-3567, ;267;
Антигуа и Барбуда;;APOLLO LYNX;MAK6M25; Алматы;;2914;Эксплуатируется;Неизвестен;9282091;Ген. груз; 050016, пр.Рыймбека 160 А, офис 504;; Казахстан, ;304448000;;2002; +7(727) 258-3567, ;4294;
Антигуа и Барбуда;;APOLLO LYNX;MAK6M25; Алматы;;2914;Эксплуатируется;Неизвестен;8605234;Ген. груз; 050016, пр.Рыймбека 160 А, офис 504;; Казахстан, ;304448000;;2002; +7(727) 258-3567, ;4294;
Россия;"""Газфлот"", ООО";DUNAY;6NVD-48U; Москва;792738;739;Эксплуатируется;Калининград;7819905;Многоцелевое судно обеспечения; 117420 , ул. Наметкина, д. 12а;; Россия, ;273459410;;1980; +7 (499) 580-38-54, ;798;
Россия;"""Махачкалинский морской торговый порт"", ФГУП";DYURSO;8NVDS 48A-3U; Махачкала;2578896;4991;Эксплуатируется;Махачкала;9083196;Ген. груз; 367000, ул. Портшоссе, д.5;Россия; Россия, ;273151300;;1993; +7(8722)70-02-98, ;5885;
Россия;"""Каспиус 2012"", ООО";ETIM EMIN;6VDS 26/20 AL-1; Москва;;1853;Эксплуатируется;Астрахань;8700010;Ген. груз; 127051, Малый Сухарский пер., 9, стр.1, офис 36;Финляндия; Россия, ;273355400;;1988;;2075;
;;;; Москва;;;;;9598880;; 127051, Малый Сухарский пер., 9, стр.1, офис 36;; Россия, ;;;;;;
Россия;"""Каспий"", ООО";TYULEN 10;----;;862038;340;Эксплуатируется;Махачкала;8727317;Рыболовное судно;;Россия;;273612100;;1988;;145;
Россия;"""Каспий"", ООО";TYULEN 10;----;;862038;340;Эксплуатируется;Махачкала;8682323;Рыболовное судно;;Россия;;273612100;;1988;;145;
Россия;"""Судоходная компания Акватория"", ООО";IVAN SIVKO;6NVDS; Астрахань;795204;576;;Астрахань;9096727;Буксир; 414017, площадь Нефтяников 26-а;Венгрия; Россия, ;273342320;;1979; +7 (8512) 717-546, ;125;
Россия;"""MARNAVI"", SPA";IEVOLI ORANGE;Wartsila 9L20; Неаполь;090539;943;;Неизвестен;9580704;Многоцелевое судно обеспечения; Via S.Brigada, 39-80133 Napoli, Italy;Турция; Италия, ;273324640;;2010; 39(81) 2513304, ;400;
Россия;"""Моринжгеология"", ООО";IZYSKATEL 1;6NVD48A 2U; Астрахань;673172;426;;Астрахань;8934881;Научно-исследовательское судно; 414004, ул. Красная Набережная, д. 85;; Россия, ;273348710;;1968; +7(8512)228-524, ;99;
Россия;"""Моринжгеология"", ООО";IZYSKATEL 2;8NVD48A-2U; Астрахань;880587;723;;Астрахань;8721820;Научно-исследовательское судно; 414004, ул. Красная Набережная, д. 85;; Россия, ;273425760;;1988; +7(8512)228-524, ;414;
Россия;РОМАНЕНКО МИХАИЛ ГРИГОРЬЕВИЧ, ФИЗИЧЕСКОЕ ЛИЦО;IZYSKATEL 3;----;;861552;2399;Эксплуатируется;Астрахань;8723268;Плавбаза; Россия, Москва, улица Азовская, 24, кв. 237;;;273616100;;1986;;911;
Россия;"""Каспийгеосервис"", ООО";IKRYANINSKIY;----; Астрахань;843605;2399;Эксплуатируется;Астрахань;8228608;Научно-исследовательское судно; 414056, ул. Савушкина, д. 4;; Россия, ;273445870;;1984;;913;
Россия;ЛОЗОВЕНКО Ю.В. И КАЦЕВ И.С.;ИЛИЯ;----;;760597;;;Новороссийск;7640794;Плавбаза; Россия, Таганрог, ул.Кольцовская 73;;;;;1976; +7-8634-614858, ;88;
Россия;"""Shipmar Co"", Ltd";YORK;6NVD 48-A-2U; Москва;784322;2460;Эксплуатируется;Санкт-Петербург;8935392;Ген. груз; ул. Соколово-Мещерская, д. 29;Румыния; Россия, ;273340110;crew@shipmar.biz;1978;;3201;
Казахстан;"""Circle Maritime Invest"", LLP";ISKANDER;Caterpillar; Алматы;060459;296;;Актау;9400241;Буксир; 050016, пр.Рыймбека 160 А, офис 504;Нидерланды; Казахстан, ;436000297;;2006; +7(727) 258-3567, ;182;
Россия;"""Каспийский научно-исследовательский нститут рыбного хозяйства"", ГБОУ";ISSLEDOVATEL KASPIYA;----; Астрахань;941168;371;Эксплуатируется;Астрахань;8937118;Траулер; 414056, улица Савушкина, 1;Россия; Россия, ;;;1996; (8512) 25-86-36, (8512) 25-25-81, ;189;
Россия;"""Каспийский научно-исследовательский нститут рыбного хозяйства"", ГБОУ";ISSLEDOVATEL KASPIYA;----; Астрахань;941168;371;Эксплуатируется;Астрахань;8109814;Траулер; 414056, улица Савушкина, 1;Россия; Россия, ;;;1996; (8512) 25-86-36, (8512) 25-25-81, ;189;
Россия;"""UNIVESSEL SHIPPING CO"", LTD";ISHIM;8 VD 36/24 A-1; Лимассол;774180;1522;;Астрахань;8870384;Ген. груз;" 284, Arch.Makarios III, Fortuna Court Block, 2nd Floor, P.C. 3105;
 c/o ЗАО Аркус: 199155 С-.Петербург, переулок Декабристов 20";Германия; Кипр, ;273347110;;1978; c/o +7 (812) 118-40-11, ;1755;
Россия;"""INELUKI MARKETING"", LTD";KADET;8NVDS 48 A- 3 U; Тортола;922173;4110;;Неизвестен;9083328;Ген. груз;" Akara Bldng, 24 De Castro Street, Wickhams cay I, Road Town, Tortola, The British Virgins Island; 


ООО Ситранс консалтинг: Россия, 353900 Новороссийск, ул.Толстого 4, офис 410";Россия; Виргинские острова (Британские), ;273384210;;1993;" +7 41(22) 707-04-01;7(8617) 72-00-22, ";4985;
Иран;;KADOS;6 NVD; Тортола;;2842;;Неизвестен;9137258;Ген. груз;" Akara Bldng, 24 De Castro Street, Wickhams cay I, Road Town, Tortola, The British Virgins Island; 


ООО Ситранс консалтинг: Россия, 353900 Новороссийск, ул.Толстого 4, офис 410";; Виргинские острова (Британские), ;422886000;;1998;" +7 41(22) 707-04-01;7(8617) 72-00-22, ";3839;
Россия;"""TEXRON FINANCE"", LTD";KAZAK;6VDS 24/24; Белиз Сити;913174;3376;;Астрахань;9202467;Ген. груз; 35 New Road, Belize City, Belize;Россия; Белиз, ;273442130;;1998;;3186;
Россия;"""Транс-сервис"", ООО";KAZAN CITY;SKL 8NVDS 48A-2; Ростов-на-Дону;940345;4408;;Астрахань;9104782;Танкер; 344006, Кировский пр-кт, 45, лит. Г, оф. 5;Болгария; Россия, ;273410020;;1996;;5619;
Казахстан;"""MOBILEX ENERGY"", LTD";KAZAKHSTAN;Wartsila 8L26A; Актау;040465;7224;Эксплуатируется;Актау;9323118;Танкер; Промзона, Нефтебаза;Россия; Казахстан, ;436000034;;2005; +7(3272) 952202, 952203, 73332222327 (mob.), ;12359;
Россия;"""Московский"", ЗАО";KALEVALA;6CHRNP 36/45; Санкт-Петербург;855049;2829;Эксплуатируется;Санкт-Петербург;8866644;Ген. груз; 199106 , В.О., 29-я линия, 2;Румыния; Россия, ;273333800;;1986; +7 (812) 3240-331, ;3220;
Россия;"""Shipmar Co"", Ltd";KALITVA;6NVD-48; Москва;734291;2463;Эксплуатируется;Большой порт Санкт-Петербург;8899067;Ген. груз; ул. Соколово-Мещерская, д. 29;; Россия, ;273437050;crew@shipmar.biz;1973;;3174;
Россия;"""Аризона"", ЗАО";KAMYZYAKSKIY;8 NVD 48 A-2U; Махачкала;843592;2399;Эксплуатируется;Астрахань;8228294;Плавбаза; 367000, ул. Портшоссе, 2, кв. 27;; Россия, ;;;1984; (8722) 70-05-64, ;913;
Россия;"""Аризона"", ЗАО";KAMYZYAKSKIY;8 NVD 48 A-2U; Махачкала;843592;2399;Эксплуатируется;Астрахань;8709705;Плавбаза; 367000, ул. Портшоссе, 2, кв. 27;; Россия, ;;;1984; (8722) 70-05-64, ;913;
Россия;"""GLENHAVEN"", LTD";CAPELLA;6NVDS48-A-2U; Маэ;790338;2349;;Таганрог;7612412;Ген. груз; Oliaji Trade Center, 1st  floor, Victoria, Mahe, Seychelle;Финляндия; Сейшелы, ;273331110;;1980; +7 380(652) 529192, ;1922;
Россия;"""Baltasar Shipping"", S.A";KAPITAN ABAKUMOV;Wartsila 6L20;;060232;4182;;Неизвестен;9396658;Ген. груз; Banco General Building, 21-st Floor, Panama;Россия;;273315960;;2007;;5464;
Россия;"""Волготранс"", ООО";KAPITAN BARMIN;8R22HF-D; Самара;931562;4535;;Астрахань;9269350;Нефтеналивной танкер; 443042, ул. Белорусская, д. 134;Россия; Россия, ;273423570;;1993; +7(846)273-92-59, ;5742;
Россия;"""Донмастер"", ООО";KAPITAN VORONKOV;6NVD 48A-U; Ростов-на-Дону;850327;2466;;Санкт-Петербург;8623987;Ген. груз; Ул. Красноармейская, д. 206;; Россия, ;273333500;;1985; (863) 292-37-13, ;3346;
Россия;"""ELMOR SHIPPING CO"", LTD";KAPITAN MATVEEV;6 NVD 48A-2U; Валлетта;866221;2463;Эксплуатируется;Таганрог;8951396;Ген. груз;" 53, St.Dominic Street, Valletta, Malta;

 ООО Б.С.Б.С.: 105094 Москва, Семеновская набережная 3/1, корпус 5";Россия; Мальта, ;273430550;;1982; +7(495) 9597513, ;3197;
Россия;"""Ойл Марин Групп"", СК ООО";KAPITAN PERMYAKOV;SKL 8NVDS 48A-2; Санкт-Петербург;843477;4402;;Астрахань;8727953;Танкер;" 197374, ул. Савушкина д. 126, лит. А, БЦ ""Атлантик Сити"", оф. 303";Болгария; Россия, ;273343600;;1987; +7(812)331-24-11, ;5710;
Россия;"""Росчартеринг"", ООО";KAPITAN PIROZHKOV;8 NVD 48 AU; Санкт-Петербург;751278;3476;;Астрахань;8230716;Танкер; 197374, ул. Савушкина, д.126, лит.А;Болгария; Россия, ;273346600;;1976; +7 (812) 406-80-88, ;4823;
;;;; Санкт-Петербург;;;;;8878104;; 197374, ул. Савушкина, д.126, лит.А;; Россия, ;;;; +7 (812) 406-80-88, ;;
Россия;"""Волга-Транзит"", ООО";КАРБОН;----; Астрахань;851283;;;Калининград;8857198;Танкер; 414024 ул. Дубровинского, 64, корп. 2;; Россия, ;;;1985; +7 (8512) 61-13-46, ;455;
Россия;"""CARRIZONA"", LTD";CARRIZONA;DIESEL; Чарлстаун;763909;2463;Эксплуатируется;Таганрог;8955469;Ген. груз; P.O.Box 553, Main street, Charlestown, St. Kitts and Nevis;Россия; Сент-Китс и Невис, ;273350080;;1976;;3201;
Россия;;KASMA;6-27,5A2L; Чарлстаун;853359;3086;Эксплуатируется;Санкт-Петербург;8721351;Ген. груз; P.O.Box 553, Main street, Charlestown, St. Kitts and Nevis;; Сент-Китс и Невис, ;422064500;;1985;;3332;
Россия;;KASMA;6-27,5A2L; Чарлстаун;853359;3086;Эксплуатируется;Санкт-Петербург;9133367;Ген. груз; P.O.Box 553, Main street, Charlestown, St. Kitts and Nevis;; Сент-Китс и Невис, ;422064500;;1985;;3332;
Россия;"""SALMAR"", LTD";CASPIAN WIND;Wartsila Vasa; Валлетта;940743;2813;;Таганрог;9133355;Ген. груз; 13/16 Vincenti Building, Strait Str., Valletta, Malta;Россия; Мальта, ;273328200;;1995; +7 (356) 21234128, ;3837;
Казахстан;;CASPIAN GAS;Akasaka; Валлетта;;3485;;Неизвестен;8822143;Напорный газовоз; 13/16 Vincenti Building, Strait Str., Valletta, Malta;; Мальта, ;436000220;;1989; +7 (356) 21234128, ;3983;
Россия;"""Палмали"", ООО";CASPIAN LEADER;Wartsilla 8L20/27; Ростов-на-Дону;990109;5137;;Таганрог;9235684;Танкер; 344000, пр. Буденновский, д. 2;Россия; Россия, ;273440170;kadry@palmali-r.ru;2000; +7(863)268-81-94, ;7970;http://www.palcrewing.ru
Россия;"""Палмали"", ООО";CASPIAN SPRINTER;Wartsila; Ростов-на-Дону;980130;5137;;Таганрог;9211896;Танкер; 344000, пр. Буденновский, д. 2;Россия; Россия, ;273449070;kadry@palmali-r.ru;1998; +7(863)268-81-94, ;7970;http://www.palcrewing.ru
Россия;"""Палмали"", ООО";CASPIAN STREAM;Wartsilla; Ростов-на-Дону;990043;5137;;Таганрог;9228332;Нефтеналивной танкер; 344000, пр. Буденновский, д. 2;Россия; Россия, ;273448070;kadry@palmali-r.ru;2000; +7(863)268-81-94, ;7970;http://www.palcrewing.ru
